"KEY","ENGLISH","FRENCH","SPANISH"
"common.msg.addtrigger","Add User Trigger","Ajouter la zone d'activation de l'utilisateur ","Añadir activación de usuarios"
"common.msg.assignedRespondent","Assigned Respondent:",,"Asignado a: "
"common.msg.blockpublish","Block Publishing","Arrêt de la publication","Bloquear publicación"
"common.msg.blockworkflow","Block Workflow","Arrêt du déroulement du travail ","Bloquear flujo de trabajo"
"common.msg.changeAttachments","Change Attachments",,"Modificar archivos adjuntos"
"common.msg.changeComments","Change Comments",,"Modificar comentarios"
"common.msg.changeOptions","Change Options",,"Modificar opciones"
"common.msg.changescores","Change Scores",,"Modificar anotaciones"
"common.msg.changeSrcDesc","Change Source Description",,"Modificar descripción de la fuente "
"common.msg.charterror","The Chart should be loaded here... Errors orrur if you see this text.","Le graphique devrait être téléchargé ici… Signalement d' erreur dès l'apparition de ce texte.","La tabla debería cargarse aquí… Ha ocurrido un error si ves este texto."
"common.msg.chooseReole","Choose a role",,"Elija un papel"
"common.msg.chooseTarget","Choose a target",,"Elija un objetivo"
"common.msg.click_to_add_role","Click to add roles",,"Haga clic para agregar papeles "
"common.msg.click_to_add_target","Click to add targets",,"Haga clic para agregar objetivos"
"common.msg.click_to_choose_product","Click to choose product",,"Haga clic para elegir producto"
"common.msg.click_to_choose_task","Click to choose task",,"Haga clic para elegir tarea"
"common.msg.dueDate","Due Date",,"Fecha límite"
"common.msg.fireuserfinder.summary","Total: {0, number, #}, New: {1, number, #}",,"Total: {0, número, #}, Nuevo: {1, número,#}"
"common.msg.fname.anonymous","Anonymous","Anonyme","Anónimo"
"common.msg.home","Home","Page d'accueil","Home"
"common.msg.lname.contributor","Contributor","Collaborateur","Colaborador"
"common.msg.nextcategory","Next Category","Catégorie suivante","Siguiente categoría"
"common.msg.nextindicator","Next","Suivant","Siguiente"
"common.msg.nextstep","Next Step","Étape suivante","Próximo paso"
"common.msg.noassign","No assginment for '{0}'","""{0}"" n'est pas assigné","No hay tareas para '{0}'"
"common.msg.nodata","This box is currently empty.","Cette case est actuellement vide","Actualmente esta caja se encuentra vacía."
"common.msg.noproject","No Project","Pas de projet","No hay proyecto"
"common.msg.opinionagree","Yes, I agree with the score but wish to add a comment, clarification, or suggest another reference.","Je suis d'accord avec la qualification mais désire ajouter un commentaire, faire des éclaircissements ou suggérer une autre référence","Sí, estoy de acuerdo con la calificación, pero quiero agregar un comentario, aclaración o sugerir otra referencia."
"common.msg.opiniondisagree","No, I do not agree with the score.","Non, je ne suis pas d'accord avec la qualification ","No, no estoy de acuerdo con la calificación."
"common.msg.opinionnojudge","I am not qualified to judge this indicator.","Je ne suis pas qualifié pour émettre une opinion sur cet indicateur","No estoy calificado para evaluar este indicador."
"common.msg.original","Original",,"Original"
"common.msg.peerreviews","Peer Reviews",,"Revisiones del grupo"
"common.msg.pleasewait","Please Wait...","Veuillez attendre, spv.","Por favor espera…"
"common.msg.prevcategory","Previous Category","Catégorie antérieure","Categoría previa"
"common.msg.previndicator","Previous","Antérieur","Previo"
"common.msg.prjupdates","Project Updates","Mises à jour du projet","Actualizaciones del proyecto"
"common.msg.product","Product","Produit","Producto"
"common.msg.respondent","Respondent",,"Quien responde"
"common.msg.respondentFilter","Respondent Filter",,"Filtro de quien responde"
"common.msg.rulemanager","Rule Manager","Chef de règlement","Administrador de lineamientos"
"common.msg.saveYourChanges","Save your changes",,"Guarde sus cambios"
"common.msg.scorecardActionBar","Action Bar",,"Barra de acción"
"common.msg.scorecardnav","Scorecard Navigation","Outil de révision de sondages faisant partie du système","Navegación de la tabla de calificaciones"
"common.msg.sendQuestions","Send Questions",,"Enviar preguntas"
"common.msg.sendYourFeedback","Send your feedback",,"Envíenos sus comentarios"
"common.msg.sendYourQuestions","Send your questions",,"Envíe sus preguntas"
"common.msg.setdeadline","Set {0}'s deadline for {1}","Établir un délai pour {0} relatif à {1}","Establecer ficha límite para {0} de {1}"
"common.msg.suggestedanswer","Suggested Answer: (required)","Réponse suggérée ( obligatoire)","Respuesta sugerida: (requerido)"
"common.msg.target","Target","Cible","Objetivo"
"common.msg.taskstatus.done","DONE","Réalisé","Hecho"
"common.msg.taskstatus.forcedexit","FORCED EXIT",,"Se ha forzado la salida"
"common.msg.taskstatus.inactive","INACTIVE","Non activé","Inactivo"
"common.msg.taskstatus.inflight","INFLIGHT",,"En proceso"
"common.msg.taskstatus.overdue","OVERDUE","Exigible","Plazo agotado"
"common.msg.taskstatus.unassigned","UNASSIGNED",,"No asignado"
"common.msg.to","To","à l'attention de","Para"
"common.msg.youcontent","Your Content","Votre contenu","Tu contenido"
"common.msg.yourinbox","Your Inbox","Votre corbeille d'arrivée","Tu bandeja de entrada"
"common.msg.youroutbox","Your Outbox",,"Tu bandeja de salida"
"common.msg.nomember","No member!",,
"common.msg.noflag","No Flag!",,
"common.msg.reassignflagdesc","Enter all required details about the issue and assign it to an appropriate member of the project.",,
"common.msg.reassignflagdetailshint","Enter problem details or support information to help resolve the issue.",,
"common.remark.active","active","Activé","activo"
"common.remark.aware","aware","je suis au courant ","pendiente"
"common.remark.done","done","Fait","hecho"
"common.remark.inactive","inactive","Non activé","inactivo"
"common.remark.started","started","Commencé","se ha iniciado"
"common.remark.suspended","suspended","En suspens","suspendido"
"common.title.comments","Comments","Commentaires","Comentarios"
"common.title.from","From","À partir de","De"
"common.title.sources","Sources","Sources","Fuentes"
"common.title.groupmembers","Group Members",,
"common.title.flagquestion","Flag Question",,
"common.title.flags","Flags",,
"common.title.flagsraisedbyme","Raised by me",,
"common.title.flagsassignedtome","Assigned to me",,
"common.title.flagothers","Flag others",,
"common.title.flagbuttonunset","Unset",,
"common.title.flagbuttonraisedbyme","Raised by me",,
"common.title.flagbuttonassignedtome","Assigned to me",,
"common.title.flagbuttonsetothers","Set others",,
"jsp.allcontent.allcontents","All Content","Tous les contenus","Todo el contenido"
"jsp.allcontent.pagetitle","Indaba Builder | All Content","Système d'Indaba  | Tout contenu ","Generador Indaba | Todo el contenido"
"jsp.answerDetails.pagetitle","Indaba Builder | Indicator Answer Detail","Système d'Indaba  | Indicateur de détail de réponse","Generador Indaba | Detalle del indicador de respuestas"
"jsp.assignmentMessage.pagetitle","Indaba Builder | Assignment Message","Système d'Indaba  | Assignation de message","Generador Indaba | Mensaje de asignación"
"jsp.attachment.addNewAttachments","ADD NEW ATTACHMENTS","ADJONCTION D' UN AUTRE FICHIER ","Agregar nuevos archivos adjuntos"
"jsp.attachment.attachments","Attachments","Adjonction de fichier ","Archivos adjuntos"
"jsp.attachment.b","B","B","B"
"jsp.attachment.by","BY","PAR","POR"
"jsp.attachment.file","FILE","FICHIER","ARCHIVO"
"jsp.attachment.kb","KB","KB","KB"
"jsp.attachment.maxFileSize","Max file size","Volume maximum du fichier","Tamaño máximo del archivo"
"jsp.attachment.maxFileSizeNum","30M","30M","30M"
"jsp.attachment.mb","MB","MB","MB"
"jsp.attachment.size","SIZE","VOLUME","TAMAÑO"
"jsp.caseFilter.tag","Tag","Étiquette","Etiqueta"
"jsp.casePage.assignTo","Assign To","Assigné à","Asignar a "
"jsp.casePage.attachContent","Attach Content","Adjonction du contenu","Adjuntar contenido"
"jsp.casePage.attachFiles","Attach File(s)","Adjonction de fichier(s)","Adjuntar archivo(s)"
"jsp.casePage.attachTags","Attach Tags","Adjonction d'étiquettes","Adjuntar etiquetas"
"jsp.casePage.attachUsers","Attach Users","Adjonction des utilisateurs","Adjuntar usuarios"
"jsp.casePage.case","Case","Affaire","Caso"
"jsp.casePage.caseDescription","Case Description","Description de l'Affaire","Descripción del caso"
"jsp.casePage.casePriority","Case Priority","Affaire à traiter en priorité","Prioridad del caso"
"jsp.casePage.casestatus","Case Status","Statut de l'Affaire","Estatus del caso"
"jsp.casePage.caseTitle","Case Title","Titre de l'Affaire","Titulo del caso"
"jsp.casePage.createBy","Created By","Créé par","Creado por"
"jsp.casePage.newCase","New Case","Nouvelle affaire","Nuevo caso"
"jsp.casePage.openNew","Open - New","Ouverture d'une nouvelle affaire","Abrir - Nuevo"
"jsp.casePage.title.caseDetail","Indaba Builder | Cases Detail","Systéme d' Indaba  | Détail des affaires ","Generador Indaba | Detalles de caso "
"jsp.casePage.title.newCase","Indaba Builder | New Case","Système d'Indaba   | Nouvelle affaire","Generador Indaba| Nuevo caso"
"jsp.cases.allCases","All Cases","Toutes les affaires","Todos los casos"
"jsp.cases.openNewCase","Open New Case","Ouverture d'une nouvelle affaire","Abrir nuevo caso"
"jsp.cases.title","Indaba Builder | Cases","Système d' Indaba  | Affaires","Generador Indaba | Casos "
"jsp.choice.all","ALL","Selectionner le tout","Todos"
"jsp.clientpage.h1","client site page with widgets","Page du site du client avec widgets","página del sitio del cliente con widgets"
"jsp.clientpage.pagetitle","Indaba Builder | Widgets","Système d'Indaba  | Widgets","Generador Indaba | Widgets"
"jsp.configtool.btn.gencode","Generate Code","Établir un code","Generar código"
"jsp.configtool.btn.rmselected","Remove Selected","Éliminer article sélectionné","Eliminar seleccionados"
"jsp.configtool.configuration","Configuration","Configuration ","configuración"
"jsp.configtool.h1","Widget Configuration Tool","Outil de configuration de widget","Herramienta de configuración de widgets"
"jsp.configtool.height","height","hauteur","altura"
"jsp.configtool.mapptingto","mapping to","Unité logique vers","asignar a"
"jsp.configtool.pagetitle","Indaba Builder | Manage Widget","Système d'Indaba | Gestion de widgets","Generador Indaba | Administar widgets"
"jsp.configtool.parameter","parameter","paramètre","Parámetro"
"jsp.configtool.targetaddr","target address","adresse cible","Dirección de destino"
"jsp.configtool.width","width","largeur","ancho"
"jsp.contentApproval.ApproveInstruction","PLEASE APPROVE THE CONTENT AND CLICK [ I'm Done - Submit ] WHEN YOU ARE DONE","VEUILLEZ AUTORISER LE CONTENU ET CLIQUEZ SUR [ J'ai terminé - Envoyer] lorsque le travail est terminé","POR FAVOR APRUEBA EL CONTENIDO Y HAZ CLICK EN [ He terminado - Enviar ] CUANDO HAYAS CONCLUIDO"
"jsp.contentApproval.ApproveThisContent","APPROVE THIS CONTENT","AUTORISATION DE CE CONTENU","APROBAR ESTE CONTENIDO"
"jsp.contentApproval.pagetitle","Indaba Builder | Content Approval","Système d' Indaba  | autorisation du contenu ","Generador Indaba | Aprobación de contenido "
"jsp.contentGeneral.caseLastUpdated","LAST UPDATED","DERNIÈRE MISE À JOUR","Última actualización"
"jsp.contentGeneral.caseNO","NO.","NO.","NO."
"jsp.contentGeneral.caseOpened","OPENED","OUVERT","Abierto"
"jsp.contentGeneral.currentTasks","Current Tasks","Tâches actuelles","Tareas actuales"
"jsp.contentGeneral.instructions","Instructions","Directives","Instrucciones"
"jsp.contentPayment.instruction","PLEASE RECORD PAYMENT INFORMATION HERE. WHEN YOU FINISH, PLEASE CLICK [ I'm Done - Submit ] BUTTON","VEUILLEZ ENREGISTRER ICI L'INFORMATION DU PAIEMENT. UNE FOIS EFFECTUÉ, CLIQUEZ ICI SUR LA TOUCHE  [ J'ai terminé - Envoyer]","POR FAVOR GRABA LA INFORMACIÓN SOBRE PAGO DE CONTENIDO AQUÍ. CUANDO HAYAS TERMINADO HAZ CLIC EN EL BOTÓN [ He terminado - Enviar ] "
"jsp.contentPayment.pagetitle","Indaba Builder | Content Payment","Numération de Indaba  | Paiement du contenu","Generador Indaba | Pago de contenido"
"jsp.contentPayment.payees","PAYEES","BÉNÉFICIAIRES","Beneficiarios"
"jsp.contentPayment.paymentDate","PAYMENT DATE","DATE DE PAIEMENT ","Fecha de pago"
"jsp.contentPayment.paymentMount","PAYMENT AMOUNT","MONTANT DU PAIEMENT","MONTO A PAGAR"
"jsp.contentPayment.prompt","Please enter correct amount number","Veuillez introduire le chiffre correct du montant ","Por favor corrige el monto"
"jsp.error.back","Back","Retour","Volver"
"jsp.error.errMsg","Internal server error/exception occurs. Please contact your administrator.","Existence d'une erreur du serveur interne. Veuillez contacter votre administrateur.","Ha ocurrido un error en el servidor interno o una excepción. Por favor contacta a tu administrador."
"jsp.error.errors","ERRORS","ERREURS","Errores"
"jsp.error.pagetitle","Indaba Build | Error","Système d' Indaba  | Erreur","Generador Indaba | Error"
"jsp.fileupload.browseFiles","Browse Files","Explorer les fichiers","Cargar archivos"
"jsp.fileupload.clearList","Clear List","Liste d'effacement","Eliminar lista"
"jsp.fileupload.startUpload","Start Upload","Commencer à télécharger","Comenzar carga "
"jsp.footer.privacy","Privacy Policy","Politique de confidentialité","Política de privacidad"
"jsp.header.admin","Indaba Admin","Administration d'Indaba","Administración de Indaba"
"jsp.header.home","Indaba Home","Page d'accueil d'Indaba","Home de Indaba "
"jsp.header.logout","Logout","Sortie","Salir"
"jsp.header.menu.allcontent","All Content","Tous les contenus","Todo el contenido"
"jsp.header.menu.help","Help","Assistance","Ayuda"
"jsp.header.menu.messaging","Messaging","Messagerie","Mensajes"
"jsp.header.menu.people","People","Personnes ","Personas"
"jsp.header.menu.queue","Queue","File d'attente","Fila"
"jsp.help.msg1","Are you having problems? We're very sorry! Here are some ways to get support.","Avez-vous des problèmes ? Nous sommes vraiment navrés ! Voici quelques directives pour obtenir de l'aide.","¿Tienes problemas? ¡Lo sentimos mucho! Aquí hay algunas opciones para obtener ayuda."
"jsp.help.msg2","Read the instructions for your project at the <a href=""http://getindaba.org/help-desk/"">Indaba Help Desk</a>.","Lisez les directives concernant votre projet sur <a href=""http://getindaba.org/help-desk/"">Indaba Help Desk</a>.","Lee las instrucciones para tu proyecto en el <a href=""http://getindaba.org/help-desk/"">módulo de asistencia de Indaba</a>."
"jsp.help.msg3","Read the Frequently Asked Questions at the <a href=""http://getindaba.org/help-desk/"">Indaba Help Desk</a>.","Lisez les questions frequemment posées sur le site  <a href=""http://getindaba.org/help-desk/"">Indaba Help Desk</a>.","Lee las preguntas frecuentes en el <a href=""http://getindaba.org/help-desk/"">módulo de asistencia Indaba</a>."
"jsp.help.msg4","<a href=""newmsg.do"">Send a sitemail</a> to your manager. Your managers like hearing from you! You can find your manager at the <a href=""people.do"">PEOPLE</a> tab, under ""People You Should Know."" Your manager will address your question and may post the exchange to the FAQ thread.","<a href=""newmsg.do"">Envoyer un message de site </a> à votre directeur. C'est pour eux un plaisir de recevoir de vos nouvelles !. Contactez-les sur <a href=""people.do"">PEOPLE</a> tab, sous la rubrique ""People You Should Know.""  Votre directeur affichera l'échange d'idées sur le regroupement des messages d'un groupe d'intérêt sur le sujet concerné.","<a href=""newmsg.do"">Enviar un mensaje interno </a> a tu administrador. ¡A tus administradores les gusta saber de ti! Puedes encontrar el tuyo en la pestaña <a href=""people.do"">GENTE</a> bajo la leyenda “Gente que deberías conocer”. Tu administrador abordará tu pregunta y puede publicar la respuesta en la lista de preguntas frecuentes."
"jsp.help.msg5","We use Indaba's case manager to track problems with fieldwork or using Indaba. If a case is open and related to you, you can see it at the <a href=""cases.do"">CASES</a> tab. Some users can open a new case, however not all users are allowed to do this.","Nous utilisons le système de gestion d'Indaba pour retrouver et suivre les problèmes rencontrés lors des travaux sur les lieux ou lors de l'utilisation d'Indaba. Si une affaire déjà traitée est liée à la votre, vous pouvez consulter le dossier sur <a href=""cases.do"">AFFAIRES</a> tab. Certains utilisateurs peuvent ouvrir une nouvelle affaire. Toutefois l'autorisation n'est pas accordée à tous. ","Utilizamos el administrador de casos de Indaba para rastrear problemas con el trabajo de campo o el uso de Indaba. Si existe un caso abierto relacionado contigo, puedes verlo en la pestaña <a href=""cases.do""> CASOS </ a>. Algunos usuarios pueden abrir un caso nuevo; sin embargo, no todos los usuarios tienen los privilegios necesarios."
"jsp.help.msg6","If you have an Indaba-related emergency, you can call the Global Integrity office at +1 202.449.4100.","Dans le cas où vous rencontreriez un problème urgent lié à Indaba, vous pouvez appeler le bureau d'Indaba au numéro  +1 202.449.4100.","Si tienes una emergencia relacionada con Indaba puedes llamar a la oficina de Global Integrity, o al +1 202.449.4100."
"jsp.help.title","Indaba Builder | Help","Système d'Indaba  | Assistance","Generador Indaba | Ayuda"
"jsp.help.start","If you're having trouble using Indaba you should:",,
"jsp.help.tip1","Contact your Project Manager for any questions related to your project or about working on Indaba.",,
"jsp.help.tip2","Visit our Support Site at <a href=""https://indaba.tenderapp.com"">indaba.tenderapp.com</a> for answers to Frequently Asked Questions or ""How To"" articles on using Indaba.",,
"jsp.help.tip3","Email Indaba Support at <a href=""mailto:support@indaba.io"">support@indaba.io</a> for Indaba related emergencies or call +1 202.449.4100.",,
"jsp.help.end","For general information on Indaba services and features please visit <href a=""http://indaba.io"">indaba.io</a>",,
"jsp.help.wokflowconsole","Workflow Console","Pupitre de flux de travail","Consola de flujo de trabajo"
"jsp.horseApproval.approveDone","Approve - I'm Done","Approbation - j'ai terminé","Aprobar - He terminado"
"jsp.horseApproval.instruction","PLEASE APPROVE THE HORSE","VEUILLEZ AUTORISER LES NÉGOTIATIONS","POR FAVOR APRUEBA EL CABALLO"
"jsp.horseApproval.pagetitle","Indaba Builder | Horse Approval","Système d'Indaba  | Approbation des négotiations ","Generador Indaba | Aprobación del caballo"
"jsp.indicatorPeerReviewPage.link2Answer","Link To Original Answer","Lien à la réponse initiale","Vincular a la respuesta original"
"jsp.indicatorPeerReviewPage.title","Indaba Builder | Indicator Peer Review","Numération d'Indaba  | Révision des indicateurs semblables ","Generador Indaba | Revisión de indicador por los colegas "
"jsp.indicatorPRReviewPage.title","Indaba Builder | Indicator PR Review","Système d'Indaba  | Révision de l'indicateur PR","Generador Indaba | Revisión PR del indicador"
"jsp.indicatorReviewPage.title","Indaba Builder | Indicator Review","Système d'Indaba  | Révision de l'indicateur ","Generador Indaba | Revisión del indicador"
"jsp.indicatorTag.buttonAddTag","Add New Tag","Ajouter une nouvelle étiquette","Agregar nueva etiqueta"
"jsp.indicatorTag.instruction","Tag The Indicator","Étiqueter l'indicateur","Etiquetar el indicador"
"jsp.journalContentVersion.content","Content","Contenu ","Contenido"
"jsp.journalContentVersion.pagetitle","Indaba Builder | Journal Content Version {0} by","Système d'Indaba  | Version {0} du contenu du journal par","Generador Indaba | Versión de contenido del diario {0} por"
"jsp.journalOveralReview.title","Indaba Builder | Notebook Overall Review","Système d'Indaba  | Révision générale du bloc-notes","Generador Indaba | Revisión general del cuaderno"
"jsp.journalPeerReview.pagetitle","Indaba Builder | Notebook Peer Review","Système d'Indaba  | Révision du bloc-notes du collègue","Generador Indaba | Revisión del cuaderno por los colegas "
"jsp.journalPRReview.pagetitle","Indaba Builder | Notebook PR Review","Système d'Indaba  | Révision du bloc-notes PR","Generador Indaba | Revisión de cuaderno de RP"
"jsp.journalReview.pagetitle","Indaba Builder | Notebook Review","Système d'Indaba  | Révision du bloc-notes","Generador Indaba | Revisión del cuaderno"
"jsp.journalReviewResponse.pagetitle","Indaba Builder | Notebook Review Page","Système d'Indaba  | Page révisée du bloc-notes","Generador Indaba | Página de revisión del cuaderno"
"jsp.login.check.error","ERROR when check validity!","Vérification de validité avortée","¡Error al comprobar validez!"
"jsp.login.pagetitle","Indaba Login","Connection à Indaba","Inicio de sesión en Indaba"
"jsp.login.pwd","Password","Code d'accès ","Contraseña"
"jsp.login.pwd.null","Password can't be empty!","La case du code d'accès doit être obligatoirement remplie","¡La contraseña no puede quedar vacía!"
"jsp.login.pwd.toEmail","Sending password to your email...","Envoi de votre code d'accès à votre courrier électronique ","Enviando contraseña a tu correo electrónico…"
"jsp.login.tomail.error","ERROR when send email!","Envoi du courriel avorté","¡Error al enviar email!"
"jsp.messageDetail.pagetitle","Indaba Builder | Message Detail","Système d'Indaba  | Détail du message","Generador Indaba|Detalle del mensaje"
"jsp.messageDetail.reply","Reply","Réponse","Responder"
"jsp.messageDetail.title","Title","Titre","Titulo"
"jsp.messages.createNewMsg","Create New Message","Création d'un nouveau message","Crear nuevo mensaje"
"jsp.messages.date","DATE","DATE  ","FECHA"
"jsp.messages.from","FROM","DE LA PART DE","DE"
"jsp.messages.new","NEW","NOUVEAU","NUEVO"
"jsp.messages.newCount","New","Nouveau","Nuevo"
"jsp.messages.pagetitle","Indaba Builder | Messages","Système d'Indaba  | Message ","Generador Indaba | Mensajes"
"jsp.messages.rows","Rows","RANGÉES","Columnas"
"jsp.messages.total","Total","Total","Total"
"jsp.messageSidebar.from","from","de la part de","de"
"jsp.messageSidebar.more","more","en plus","más"
"jsp.messageSidebar.new","new","nouveau","nuevo"
"jsp.myOpenCases.yourOpenCases","Your Open Cases","Vos affaires en cours","Tus casos abiertos"
"jsp.newMessage.newMsg","New Message","Nouveau message","Nuevo mensaje"
"jsp.newMessage.pagetitle","Indaba Builder | New Message","Système d'Indaba  | Nouveau message ","Generador Indaba | Nuevo mensaje"
"jsp.newMessage.projectUpdate","Post to Project Updates","Affichage de mise à jour de projet","Publicar en actualización de proyectos"
"jsp.notebook.assignedTasks","task(s) assigned.","assignation de tâche(s)","tarea(s) asignada(s)"
"jsp.notebook.enter","enter","Touche d'entrée","entrar"
"jsp.notebook.notification","Notification","Notification","Notificación"
"jsp.notebook.pagetitle","Indaba Builder | Create NoteBook","Système d'Indaba  | Création de bloc-notes ","Generador Indaba | Crear cuaderno"
"jsp.notebook.youHave","You have","Vous avez","Tienes"
"jsp.notebookDisplay.pagetitle","Indaba Builder | Notebook","Système d'Indaba  | Bloc-notes","Generador Indaba | Cuaderno"
"jsp.notebookEdit.pagetitle","Indaba Builder | Notebook Edit","Systéme d'Indaba  | Édition du bloc-notes","Generador Indaba | Editar cuaderno"
"jsp.notebookEditor.notebookEditor","Notebook Editor","Mise en forme du bloc-notes","Editor de cuaderno"
"jsp.notebookEditor.previousVersions","Previous Versions","Versions antérieures","Versiones anteriores"
"jsp.notebookEditor.words","Words","Mots","Palabras"
"jsp.notebookView.editThis","Edit This","Mettre en forme ces données","Editar esto"
"jsp.notebookView.notebookContent","Notebook Content","Coontenu du bloc-notes","Contenido del cuaderno"
"jsp.peerReview.peerReviewTips","Peer Review, Intended for Publication","Révision du collégue, destinée à la publication","Revisión de un colega, destinada a publicación"
"jsp.people.allUsers","All Users","Tous les utilisateurs","Todos los usuarios"
"jsp.people.pagetitle","Indaba Builder | People","Système d'Indaba  | Personnes","Generador Indaba | Gente"
"jsp.people.shouldKnow","People You Should Know","Personnes que vous devriez connaître","Personas que deberías conocer"
"jsp.people.target","TARGET","CIBLE","OBJETIVO"
"jsp.people.yourTeams","Your Teams","Vos Équipes","Tus equipos"
"jsp.peopleFilter.assignmentStatus","Assignment Status","Statut de l'assignation","Estatus de la tarea"
"jsp.peopleFilter.caseAssociation","Case Association","Association concernant l'affaire","Asociación del caso"
"jsp.peopleFilter.team","Team","Équipe","Equipo"
"jsp.peopleProfile.aboutYourUserInfo","<b>About Your User Information</b><br/> This bio is visible to other Indaba users. All fields are optional. You must decide how much information you want to share with your colleagues. If you are working anonymously, do not submit any real information here!<br/><br/> Note to authors: The name you enter here will your exact byline for any work published with Indaba. You must use your pen name here if you are using one for your byline.<br/><br/> Indaba displays this bio information in two formats, depending on your role in the project. There is a LIMITED bio, and a FULL bio. Each project's managers can control who can see which version, or can prevent users from seeing anything at all (a blind review, for example). Indaba administrators will also have access to additional SYSTEM INFORMATION about you, including your email address. <br/><br/> <b>Limited Bio (for the public):</b>","<b> Concernant vos informations d'utilisateur, </b><br/> Cette biographie peut être consultée par d'autres utilisateurs d'Indaba. Toutes les zones ou champs sont optionnels. La décision de partager vos informations avec vos collègues n'appartient qu'à vous. Si vous travaillez dans l'anonymat, ne transmttez pas d'informations sur ce site <br/><br/> ! Conseil donné aux auteurs: Le nom indiqué par vous portera votre signature pour tous vos travaux publiés à travers Indaba. Faites usage de votre nom de plume our toutes vos publications <br/><br/> si vous en avez créé un. Indaba affiche cette biographie en deux formats selon le rôle que vous jouez au coeur du projet. ","<b>Acerca de tu información de usuario</b><br/> Esta bio estará disponible a otros usuarios de Indaba. Todos los campos son opcionales. Tú debes decidir cuánta información compartes con tus colegas. ¡Si trabajas anónimamente, no ingreses información real!<br/><br/> Nota para los autores: el nombre que ingresen aquí será el que se publique en todos sus trabajos en Indaba. Deberán utilizar su seudónimo aquí si lo utilizan para firmar sus trabajos.<br/><br/> Indaba despliega esta información en dos formatos, dependiendo de tu rol en el proyecto. Hay una biografía LIMITADA  y una biografía COMPLETA. Cada administrador de proyecto puede control qué versión ve cada quien, o puede evitar restringir completamente el acceso a estos datos a un usuario (una revisión a ciegas, por ejemplo). Los administradores de Indaba también tienen acceso a INFORMACIÓN DEL SISTEMA adicional sobre ti, incluyendo tu dirección de email. <br/><br/> <b>Biografía limitada (para el público):</b>

"
"jsp.peopleProfile.active","Active","Actif","Activo"
"jsp.peopleProfile.assignment","Assignments","Assignation de tâches","Asignaturas"
"jsp.peopleProfile.changIconTips","Click to change people icon","Cliquez pour changer l'icône de la personne ","Click para cambiar el icono de persona"
"jsp.peopleProfile.deleted","Deleted","Éffacé","Borrado"
"jsp.peopleProfile.email","Email","Courrier électronique","Correo electrónico"
"jsp.peopleProfile.forwardInboxMsg","Forward Inbox Message","Retransmettre message de la corbeille d'arrivée","Reenviar mensaje de bandeja de entrada"
"jsp.peopleProfile.fullBio","Full Bio","Biographie complète","Biografía completa"
"jsp.peopleProfile.fullBioE","Full Bio (for Indaba users)","Biographie complète (pour utilisateurs d'Indaba)","Biografía completa (para usuarios de Indaba)"
"jsp.peopleProfile.inactive","Inactive","Inactif","Inactivo"
"jsp.peopleProfile.language","Language","Langue","Idioma"
"jsp.peopleProfile.lastLoginTime","Last Login Time","Heure de la dernière ouverture de la session","Última hora de ingreso"
"jsp.peopleProfile.lastLogoutTime","Last Logout Time","Heure de la dernière clôture de la session ","Última hora de salida"
"jsp.peopleProfile.limitedBio","Limited Bio","Biographie resumée","Biografía abreviada"
"jsp.peopleProfile.mobilePhone","Mobile Phone","Téléphone portable","Teléfono móvil"
"jsp.peopleProfile.openCases","Open Cases","Ouverture de recherches sur des affaires","Casos abiertos"
"jsp.peopleProfile.pagetitle","Indaba Builder | People Profile","Numération d'Indaba  | Profiles des personnes","Generador Indaba | Perfil de la gente"
"jsp.peopleProfile.peopleIcon","people icon","Icône de la personne","icono de persona"
"jsp.peopleProfile.phone","Phone","Téléphone","Teléfono"
"jsp.peopleProfile.project","Project(s)","Projets","Proyecto(s)"
"jsp.peopleProfile.pwd.change","Change Password","Changez votre code d'accès","Cambiar contraseña"
"jsp.peopleProfile.pwd.cur","Current Password","Code d'accès actuel","Contraseña actual"
"jsp.peopleProfile.pwd.new","New Password","Nouveau code d'accès","Contraseña"
"jsp.peopleProfile.pwd.new.confirm","Confirm New Password","Confirmation du nouveau code d'accès","Confirmar nueva contraseña"
"jsp.peopleProfile.role","Role(s)","Rôle(s)","Rol(es)"
"jsp.peopleProfile.sendSitemail","Send A Sitemail","Envoyer au site de messagerie A","Enviar un mensaje interno."
"jsp.peopleProfile.sysEmail","System Email","Courrier électronique du système","E-mail del sistema"
"jsp.peopleProfile.sysInfo","System Information","Information sur le système","Información del sistema"
"jsp.peopleProfile.sysInfoE","System Information (for Indaba administrators)","Informations obtenues du système pour l'usage des administrateurs d'Indaba.","Información del sistema (para administradores de Indaba)"
"jsp.peopleProfile.sysTips","The system will also record statistics about how often you use Indaba and share this with system administrators.","Le système établira également des statistiques sur la fréquence d'usage d'Indaba et les administrateurs du système auront accès à cette information. ","El sistema también registrará información sobre la frecuencia de tu uso de Indaba y la compartirá con los administradores del sistema."
"jsp.peopleProfile.upload","Upload","Téléchargez","Subir"
"jsp.peopleProfile.user","User","Utilisateur ","Usuario"
"jsp.queueFilter.assignedStatus","Assigned Status",,"Estatus asignado"
"jsp.queueFilter.assignmentStatus","Assignment Status (mouse over here for explanation)","Statut de l'assignation","Estatus de la tarea"
"jsp.queueFilter.product","Product","Produit","Producto"
"jsp.queueFilter.target","Target","Cible","Objetivo"
"jsp.queueFilter.task","Task ",,"Tarea"
