"KEY","ENGLISH"
"jsp.err.indicatortrans.lang.exists","indicator already defined for language ""{0}"""
"jsp.err.indicatortrans.wrong.choice.key","wrong choice item key: {0}"
"jsp.err.indicatortrans.wrong.ind.key","wrong indicator item key: {0}"
"jsp.err.userimp.invalid.email","Invalid email address: {0}"
"jsp.err.userimp.invalid.role","Invalid role: {0}"
"jsp.err.userimp.no.users","No users specified"
"jsp.err.file.not.utf8","File not UTF8 encoded"
"jsp.err.unupported.file.type","Unsupported file type: {0}"
"jsp.err.notifimp.conflict","Item “{0}” defined at line {1} conflicts with the item “{2}” defined at line {3}"
"jsp.err.notifimp.invalid.type","Invalid Notification Type: {0}"
"jsp.err.notifimp.invalid.language","Invalid Language: {0}"
"jsp.err.notifimp.no.notifs","No notification items defined"
"jsp.err.notifimp.db.conflict","Item “{0}” defined at line {1} conflicts with the item “{2}” in the database"
"jsp.err.table.no.table.sheet","No table layout sheet in the file. It must be defined in the 2nd sheet."
"jsp.err.table.no.cells","No data defined in the layout sheet."
"jsp.err.table.bad.indicator.ref","Referenced question “{0}” is not defined. Questions must be defined in the 1st sheet."
"jsp.err.table.unused.indicator","Question “{0}” defined in the 1st sheet is not used in the table layout."
"cp.label.subject","Subject"
"cp.label.type","Type"
"cp.label.body","Body"
"cp.label.tokens","Tokens"
"cp.ch.language","LANGUAGE"
"cp.tab2.project.notifications","Notifications"
"cp.label.notification_filter","Notification Filter"
"cp.title.add_notification","Add Notification"
"cp.title.edit_notification","Edit Notification"
"cp.title.clone_notification","Clone Notification"
"cp.title.view_notification","View Notification"
"cp.text.confirm_delete_notification","Are you sure you want to delete the selected notification(s)?"
"cp.err.notif.not.found","The notification does not exist"
"cp.err.notif.conflict","The definition of this notification conflicts with the notification “{0}”. "
"cp.title.project_notifications","Project Notifications"
"cp.title.import_notifications","Import Notifications"
"cp.text.specify_notification_file","Please choose notification import file (UTF8-encoded CSV or Excel)"
"cp.title.export_notifications","Export Notifications"
"cp.text.answertype.table","Table"
"cp.label.table","Table"
"cp.ch.file_name","File Name"
"cp.btn.select_table_file","Choose Table Definition File"
"cp.err.notedef.not.found","The Note Definition does not exist"
"cp.err.groupdef.not.found","The Group Definition does not exist"
"cp.text.confirm_disable_notedef","Disabling this Note: will hide the note and it's content from all note members in Field Manager. The note and content will remain inaccessable until the note is re-enabled."
"cp.text.confirm_enable_notedef","Enabling this Note: will make the note and it's content visible to all it's members in Field Manager. The note and content will remain accessable until the note is disabled."
"cp.text.confirm_delete_notedef","Are you sure you want to delete this Note?
All existing note content of this definition on all scorecards will be permanently removed."
"cp.text.confirm_delete_groupdef","Are you sure you want to delete this Discussion Group?
All existing discussions and flags of this group on all scorecards will be permanently removed."
"cp.text.confirm_disable_groupdef","Are you sure you want to disable this Discussion Group?
All existing discussions and flags of this group on all scorecards will no longer be accessible."
"cp.text.confirm_enable_groupdef","Are you sure you want to enable this Discussion Group?
All existing discussions and flags of this group on all scorecards will become accessible."
"cp.label.selected_users","Selected Users"
"cp.btn.add_user","Add User"
"cp.label.add_notedef","Add Note Definition"
"cp.label.add_groupdef","Add Discussion Group"
"cp.label.edit_notedef","Edit Note Definition "
"cp.label.edit_groupdef","Edit Discussion Group"
"cp.label.permission","Permission"
"cp.text.edit_note","Edit Note"
"cp.text.translate_note","Translate Note"
"cp.text.no_user_selected","No User Selected"
"cp.text.no_role_selected","No Role Selected"
"cp.text.no_userrole_selected","No User/Role Selected"
"cp.label.selected_roles","Selected Roles"
"cp.btn.add_role","Add Role"
